phrase,quote,reason
fantastic deal,this is a fantastic deal.,technical_term
mono output was,it was a mono output was ,not_role_like
welcome addition,she is a welcome addition.,technical_term
main part, become a main part of ,not_role_like
little,it feels a little ,standalone_adjective
slight lag in,this is a slight lag in ,not_role_like
better experience,echo dot is a better experience.,not_role_like
bit confusing,it was a bit confusing to ,not_role_like
bad-ass little speaker,this is a bad-ass little speaker ,technical_term
cool item for,it is a cool item for ,incomplete_phrase_for
actual voice remote,it was an actual voice remote ,product_description
second one i,this is the second one i ,not_role_like
great product,echo dot is a great product.,technical_term
personal purchase,it was a personal purchase.,technical_term
reason for the,this was the reason for the ,not_role_like
good quality device,it is a good quality device.,technical_term
versatile mount that,echo dot is a versatile mount that ,not_role_like
two step process,it is a two step process ,not_role_like
hassle while driving,it was a hassle while driving.,not_role_like
well made mount,this is a well made mount ,not_role_like
coolest gift,this is the coolest gift!,technical_term
great product,echo dot is a great product!,technical_term
recipe book my,she's my recipe book my ,not_role_like
everything,she's my everything.,not_role_like
good speaker and,this was a good speaker and ,technical_term
great item for,echo dot is a great item for ,incomplete_phrase_for
opinion and only,this is my opinion and only ,not_role_like
face while it,turns into a face while it ,not_role_like
great protective sleeve,this is a great protective sleeve ,not_role_like
main source for,has become my main source for ,incomplete_phrase_for
very good product,this is a very good product ,technical_term
nice upgrade from,this was a nice upgrade from ,technical_term
great looking stand,this is a great looking stand ,not_role_like
five-star rating from,it is a five-star rating from ,not_role_like
little bit larger,it is a little bit larger ,non_role_pattern
echo dot in,like having an echo dot in ,tautology
themed echo dot,this is basically a themed echo dot ,tautology
incredible device,echo dot is an incredible device.,technical_term
best echo dot,this is the best echo dot ,tautology
third echo product,this is the third echo product ,tautology
great add on,it is a great add on ,not_role_like
ticket in,this is the ticket in.,not_role_like
minus was i,that was a minus was i ,not_role_like
wealth,she is a wealth of information ,not_role_like
great addition,alexa is a great addition to ,technical_term
obvious flaw in,this is an obvious flaw in ,not_role_like
great addition,echo dot is a great addition to ,technical_term
cute and fun,this is a cute and fun ,not_role_like
lot louder which,it was a lot louder which ,non_role_pattern
gift and it,it was a gift and it ,technical_term
solid product that,echo dot is a solid product that ,technical_term
first echo dot,this is my first echo dot.,tautology
first time having,this is my first time having ,not_role_like
easy,this is an easy ,standalone_adjective
great match with,this is a great match with ,technical_term
way better bargain,this is a way better bargain ,technical_term
streaming device,like having a streaming device.,technical_term
one i purchased,this is the one i purchased ,not_role_like
christmas gift from,this was a christmas gift from ,technical_term
free add on,this was a free add on ,not_role_like
third,this is my third ,ordinal_number
much needed add,this is a much needed add ,not_role_like
opinion that if,it is my opinion that if ,not_role_like
wonder,echo dot is a wonder.,abstract_non_role
fantastic item for,this is a fantastic item for ,incomplete_phrase_for
definite improvement,echo dot is a definite improvement.,technical_term
great product,this is a great product.,technical_term
third one i,this is the third one i ,not_role_like
gift for my,this is a gift for my ,technical_term
amazing add on,echo dot is an amazing add on ,not_role_like
well thought out,this is a well thought out ,not_role_like
great product that,this is a great product that ,technical_term
good thing since,that is a good thing since ,not_role_like
excellent mate for,this is an excellent mate for ,incomplete_phrase_for
bargain if you,echo dot is a bargain if you ,technical_term
wall mount,this is the wall mount to ,not_role_like
very,this is my very ,not_role_like
reasonably priced echo,this is a reasonably priced echo ,tautology
good purchase,echo dot was a good purchase.,technical_term
good purchase,it is a good purchase.,technical_term
excellent smart speaker,echo dot is an excellent smart speaker ,technical_term
enjoyable addition,alexa is an enjoyable addition to ,technical_term
essential part, become an essential part of ,not_role_like
easiest echo dot,this was the easiest echo dot ,tautology
most central place,it is the most central place.,not_role_like
amazing and very,it is an amazing and very ,not_role_like
second echo dot,this was my second echo dot ,tautology
big quality,this is a big quality of ,not_role_like
widespread problem,this is a widespread problem.,not_role_like
number,it is the number ,abstract_non_role
number,it is the number ,abstract_non_role
great echo dot,this is a great echo dot ,tautology
perfect add,echo dot was a perfect add to ,not_role_like
great resource for,echo dot is a great resource for ,incomplete_phrase_for
gift from my,echo dot was a gift from my ,technical_term
lot,echo dot is a lot of fun ,abstract_non_role
waste,this is a waste of money.,abstract_non_role
birthday gift,this was a birthday gift.,technical_term
first portable small,this is my first portable small ,not_role_like
fail,that was a fail.,not_role_like
christmas gift and,echo dot was a christmas gift and ,technical_term
great product for,this is a great product for ,technical_term
first ai,alexa was the first ai to ,not_role_like
new bff,alexa is my new bff!,not_role_like
gift from my,this was a gift from my ,technical_term
best thing i,this is the best thing i ,not_role_like
great steal,it was a great steal.,not_role_like
good,it was a good ,standalone_adjective
joke that,it is a joke that ,not_role_like
great feature,echo dot is a great feature to ,not_role_like
awesome device,this is an awesome device.,technical_term
great,it is a great tool to ,standalone_adjective
nice design,it is a nice design.,not_role_like
good,this is a good ,standalone_adjective
middle,this is the middle of ,not_role_like
great piece,echo dot is a great piece of ,not_role_like
great addition,this is a great addition to ,technical_term
stocking stuffer gift,this was a stocking stuffer gift ,technical_term
first impressions look,this is a first impressions look.,not_role_like
handy unit,this is a handy unit to ,not_role_like
great device with,this is a great device with ,technical_term
standard,this was a standard ,not_role_like
standalone device and,echo dot is a standalone device and ,technical_term
real live alexa,like having a real live alexa in our ,tautology
most useful electronic,echo dot is the most useful electronic ,not_role_like
truth,echo dot is the truth.,not_role_like
third echo dot,this is my third echo dot.,tautology
amazing little speaker,it is an amazing little speaker ,technical_term
amazing little speaker,it is an amazing little speaker.,technical_term
good purchase,echo dot was a good purchase.,technical_term
first alexa device,this is our first alexa device.,tautology
prime day,echo dot was a prime day ,not_role_like
amazing home device,this is an amazing home device.,technical_term
bit bigger,it is a bit bigger.,non_role_pattern
second echo,this is our second echo ,tautology
intuitive way,echo dot is an intuitive way of ,not_role_like
ball shape,it is a ball shape.,not_role_like
nice echo dot,this is a nice echo dot.,tautology
welcomed,it is a welcomed ,not_role_like
waste,echo dot is a waste of ,abstract_non_role
christmas gift and,echo dot was a christmas gift and ,technical_term
jewel,alexa is a jewel!,not_role_like
first alexa that,this is my first alexa that ,tautology
game changer love,echo dot is a game changer love ,not_role_like
first amazon smart,this is the first amazon smart ,tautology
good buy,echo dot  was a good buy!,technical_term
excellent piece,echo dot  is an excellent piece of ,not_role_like
fourth echo dot,this is the fourth echo dot ,tautology
practical home for,it is a practical home for ,incomplete_phrase_for
great addition,echo dot is a great addition to ,technical_term
rewarding purchase,this was a rewarding purchase.,technical_term
great way,it is a great way to ,not_role_like
addition for my,echo dot was an addition for my ,technical_term
second echo dot,this is our second echo dot.,tautology
wired connection and,this is a wired connection and ,not_role_like
echo is better,it seems the echo is better ,tautology
best purchase i,this is the best purchase i ,technical_term
great resource,echo dot is a great resource to ,not_role_like
satisfying but,this was a satisfying but,not_role_like
second one so,this is my second one so ,not_role_like
internet through the,that is my internet through the ,not_role_like
second echo dot,this is my second echo dot ,tautology
most sensibly amazing,this is the most sensibly amazing ,not_role_like
great addition,it is a great addition to ,technical_term
inexpensive item that,it was an inexpensive item that ,not_role_like
excellent device,echo dot is an excellent device.,technical_term
really cute holder,this is a really cute holder ,non_role_pattern
first echo purchase,it was my first echo purchase ,tautology
great item,this is a great item to ,not_role_like
great speaker,this is a great speaker to ,technical_term
nice addition in,echo dot is a nice addition in ,technical_term
must have,echo dot is a must have,not_role_like
second one,this is my second one.,not_role_like
same,alexa is the same.,not_role_like
gift from sirius,it was a gift from sirius ,technical_term
best choice,this is the best choice.,technical_term
mike for alexa,it was a mike for alexa.,tautology
understanding that speaker,it is my understanding that speaker ,technical_term
first,this is my first ,ordinal_number
cute,this is a cute ,not_role_like
timer,it is my timer when needed ,technical_term
new gadget everyday,it's like a new gadget everyday ,technical_term
awesome,echo dot is the awesome!,standalone_adjective
product the entire,this is a product the entire ,technical_term
cheap and easy,this is a cheap and easy ,not_role_like
same as the,this is the same as the ,not_role_like
ball shape instead,that is a ball shape instead ,not_role_like
really great product,this is a really great product.,technical_term
greatest duo since,echo dot is the greatest duo since ,not_role_like
christmas gift for,this was a christmas gift for ,technical_term
fun,echo dot is a fun toy.,not_role_like
amazing little hockey,echo dot  is an amazing little hockey ,not_role_like
outstanding way,this is an outstanding way to ,not_role_like
good unit,this is a good unit to ,not_role_like
welcomed addition,echo dot is a welcomed addition to ,technical_term
great invention,echo dot is a great invention.,not_role_like
way,echo dot is the way to go.,abstract_non_role
garage sale buy,it was a garage sale buy.,technical_term
great speaker for,this is a great speaker for ,technical_term
stylistic review on,this is a stylistic review on ,not_role_like
free feature,this is a free feature!,not_role_like
great addition,echo dot is a great addition to ,technical_term
little larger hard,this was a little larger hard ,not_role_like
gift for my,this was a gift for my ,technical_term
perfect match for,this is a perfect match for ,technical_term
second echo dot,this is my second echo dot ,tautology
lot nicer,it is a lot nicer to ,abstract_non_role
major drawback,that is a major drawback.,not_role_like
most thoughtful gift,this was a most thoughtful gift.,technical_term
new favorite,echo dot is my new favorite ,not_role_like
very cheaply made,this is a very cheaply made ,not_role_like
second echo,this is my second echo ,tautology
third echo dot,this is my third echo dot.,tautology
charcoal color,it is a charcoal color.,non_role_pattern
bomb,alexa is the bomb.,not_role_like
wonderful gadget,echo dot is a wonderful gadget!,technical_term
known issue that,it was a known issue that ,not_role_like
first experience with,it was my first experience with ,not_role_like
big improvement in,this is a big improvement in ,technical_term
first alexa product,this is my first alexa product.,tautology
great addition as,echo dot is a great addition as ,technical_term
first one and,this is my first one and ,not_role_like
nice edition, become an nice edition to ,not_role_like
great value for,this was a great value for ,incomplete_phrase_for
free product due,this was a free product due ,technical_term
plus,it is a plus to have ,not_role_like
great value,it is a great value.,not_role_like
great little speaker,this is a great little speaker.,technical_term
second and used,this is our second and used ,not_role_like
favorite,echo dot is my favorite!,not_role_like
best,this is the best of the ,standalone_adjective
third echo dot,this is my third echo dot ,tautology
little tricky,it was a little tricky!,not_role_like
great addition,echo dot is a great addition to ,technical_term
christmas present purchase,this was a christmas present purchase.,technical_term
neat device,it is a neat device.,technical_term
nice little case,this is a nice little case ,not_role_like
tad bit louder,it is a tad bit louder ,non_role_pattern
second echo,this is my second echo.,tautology
good add on,echo dot is a good add on ,not_role_like
future and,this is the future and ,not_role_like
great idea,this is a great idea to ,not_role_like
must have,echo dot is a must have.,not_role_like
scaled back version,this is a scaled back version ,technical_term
first purchase,this is my first purchase of ,technical_term
best,this is the best ,standalone_adjective
closest thing,this is the closest thing to ,not_role_like
second echo dot,this is my second echo dot.,tautology
great way,this is a great way to ,not_role_like
nightlight,it's like a nightlight.,not_role_like
gift for my,this was a gift for my ,technical_term
replacement product,this is a replacement product.,technical_term
one,this is the one.,not_role_like
cable or the,it was the cable or the ,not_role_like
great cable and,this is a great cable and ,not_role_like
machine cause it,this is a machine cause it ,technical_term
welcome addition,this is a welcome addition to ,technical_term
great gift,it is a great gift.,technical_term
second echo dot,this is my second echo dot ,tautology
good,echo dot is a good ,standalone_adjective
quickest and simplest,echo dot is the quickest and simplest ,not_role_like
gift for christmas,it was a gift for christmas.,technical_term
third generation,it was the third generation ,technical_term
new,alexa is my new ,standalone_adjective
nice little speaker,it is a nice little speaker ,technical_term
cute little,this is a cute little ,not_role_like
expensive music player,it is basically an expensive music player.,technical_term
cutest little stand,this is the cutest little stand ,not_role_like
real joy,this was a real joy.,not_role_like
great gizmo,this is a great gizmo.,not_role_like
inexpensive way,this is a inexpensive way to ,not_role_like
second dot i,this is the second dot i ,tautology
heavy-duty wall-mount bracket,this is a heavy-duty wall-mount bracket ,not_role_like
good solution for,this is a good solution for ,incomplete_phrase_for
nice addition,echo dot is a nice addition to ,technical_term
first echo dot,this is my first echo dot ,tautology
best thing i,it was the best thing i ,not_role_like
fun little tech-y,this is a fun little tech-y ,not_role_like
terrific buy,it was a terrific buy.,technical_term
convenience,it is a convenience to be ,not_role_like
great device that,it is a great device that ,technical_term
gift,this was a gift.,technical_term
fun stand for,this is a fun stand for ,incomplete_phrase_for
smart home trial,this was a smart home trial ,not_role_like
only light,this is the only light ,not_role_like
replacement upgrade from,this was a replacement upgrade from ,technical_term
echo dot,it is an echo dot ,tautology
harmony desktop app,that is the harmony desktop app ,not_role_like
weird issue,it was a weird issue ,not_role_like
outstanding manual that,it is an outstanding manual that ,not_role_like
brilliant device that,echo dot is a brilliant device that ,technical_term
pretty good deal,it is a pretty good deal.,technical_term
reason i could,this is the reason i could ,not_role_like
only power supplies,it seems the only power supplies ,not_role_like
little further away,that was a little further away ,not_role_like
interesting and entertaining,it is an interesting and entertaining ,not_role_like
amazing little dot,this is an amazing little dot ,tautology
fun little device,echo dot is a fun little device.,technical_term
second echo device,this is the second echo device ,tautology
third echo dot,this is my third echo dot.,tautology
nice feature because,that is a nice feature because ,not_role_like
great fitting cable,this is a great fitting cable ,not_role_like
great fitting cable,this is a great fitting cable ,not_role_like
excellent purchase,this was an excellent purchase.,technical_term
great introduction,echo dot is a great introduction to ,not_role_like
pretty simple device,this is a pretty simple device ,technical_term
major problem for,this is a major problem for ,incomplete_phrase_for
really fancy alarm,like having a really fancy alarm ,technical_term
really fancy alarm,it's like having a really fancy alarm ,technical_term
great companion for,this is a great companion for ,incomplete_phrase_for
great addition,this is a great addition to ,technical_term
great way,echo dot is a great way to ,not_role_like
good purchase,it seems a good purchase.,technical_term
little deft compared,shes a little deft compared ,not_role_like
good replacement for,shes a good replacement for ,technical_term
first one and,this was my first one and ,not_role_like
live person talking,like having a live person talking ,not_role_like
live person talking,it is like having a live person talking ,not_role_like
replacement from my,this is a replacement from my ,technical_term
great product,this is a great product.,technical_term
clever and useful,echo dot is a clever and useful ,not_role_like
second echo dot,this is my second echo dot.,tautology
first echo dot,this is my first echo dot ,tautology
smartest woman i,alexa is the smartest woman i ,not_role_like
must-have,this is a must-have in a ,not_role_like
little difficult figuring,it was a little difficult figuring ,not_role_like
first device,this was my first device of ,technical_term
great addition,this was a great addition.,technical_term
great product for,this is a great product for ,technical_term
additional echo dot,this is an additional echo dot ,tautology
addition for my,echo dot was an addition for my ,technical_term
same quality,it was the same quality.,not_role_like
all around stereo,like having an all around stereo ,not_role_like
second purchase,this was my second purchase.,technical_term
only thing it,it is the only thing it ,not_role_like
echo with a,this is a echo with a ,tautology
little hard,alexa is a little hard to ,not_role_like
echo dot has,it's like my echo dot has ,tautology
great invention,echo dot is a great invention!,not_role_like
great gadget,this is a great gadget.,technical_term
great fit on,echo dot is a great fit on ,technical_term
big disappointment,that was a big disappointment.,non_role_pattern
display,like having a display to go ,not_role_like
fourth echo product,this is the fourth echo product ,tautology
big part,has become a big part of ,not_role_like
excellent speaker that,this is an excellent speaker that ,technical_term
tiny bit loose,it is a tiny bit loose ,not_role_like
great value,this is a great value!,not_role_like
third dot,this is my third dot.,tautology
great product,echo dot is a great product.,technical_term
best echo dot,this is the best echo dot ,tautology
good value,it was a good value.,not_role_like
blast,it is a blast!,not_role_like
waste,it seems like a waste of money ,abstract_non_role
moana echo dot,it was a moana echo dot.,tautology
best product,this is the best product ,technical_term
gift ands my,it was a gift ands my ,technical_term
best sounding echo,this is the best sounding echo ,tautology
bit bulky for,it is a bit bulky for ,incomplete_phrase_for
echo dot in,like having an echo dot in ,tautology
sound is good,"it, the sound is good,",not_role_like
lot,alexa is a lot of fun ,abstract_non_role
clever and effective,this is a clever and effective ,not_role_like
third echo dot,this is my third echo dot ,tautology
life saver love,she is a life saver love ,not_role_like
very nice product,this is a very nice product.,technical_term
second,this is my second.,ordinal_number
breeze,it was a breeze to connect ,not_role_like
pain,it was a pain to plug ,not_role_like
replacement,this is the replacement.,technical_term
perfect size and,echo dot was the perfect size and ,not_role_like
great addition,echo dot is a great addition to ,technical_term
inexpensive and satisfactory,it is an inexpensive and satisfactory ,not_role_like
great little product,this is a great little product!,technical_term
ticket,this is the ticket.,not_role_like
perfect,this is the perfect tool for ,standalone_adjective
gift and they,this was a gift and they ,technical_term
way,echo dot is the way to go.,abstract_non_role
funny device,this is a funny device!,technical_term
first expierence with,this is my first expierence with ,not_role_like
decent deal,it was a decent deal.,technical_term
very stupid idea,that was a very stupid idea ,not_role_like
cool feature,this is a cool feature.,not_role_like
only way,it is the only way to ,not_role_like
software glitch,it is a software glitch.,not_role_like
waste,echo dot is a waste of your ,abstract_non_role
second echo dot,this is my second echo dot ,tautology
case,that is the case.,not_role_like
timer,alexa is my timer.,technical_term
first foray into,this is my first foray into ,not_role_like
christmas present and,echo dot was a christmas present and ,technical_term
fountain,alexa is a fountain of knowledge ,not_role_like
best thing u,it was the best thing u ,not_role_like
designed limitation on,this is a designed limitation on ,literal_function
nightmare,turn into a nightmare.,abstract_non_role
great invention,this is a great invention!,not_role_like
nice addition,this was a nice addition to ,technical_term
only reason i,that is the only reason i ,not_role_like
well built items,it was a well built items ,not_role_like
metal holder for,this is a metal holder for ,incomplete_phrase_for
wonderful purchase for,this was a wonderful purchase for ,technical_term
wife,it was my wife ,not_role_like
device for you,this is the device for you.,technical_term
bomb,alexa is the bomb!,not_role_like
perfect idea and,it was a perfect idea and ,not_role_like
amazon,it was an amazon ,tautology
biggest problem,that was the biggest problem.,not_role_like
great speaker and,it is a great speaker and ,technical_term
speaker dock built,this is a speaker dock built ,technical_term
best echo dot,this is the best echo dot ,tautology
second echo dot,this was my second echo dot.,tautology
great way,this is a great way to ,not_role_like
initial,this is my initial ,not_role_like
great addition,echo dot is a great addition to ,technical_term
great deal for,it was a great deal for ,technical_term
well worth purchase,it was a well worth purchase ,technical_term
second,this is our second ,ordinal_number
lot,it is a lot of fun ,abstract_non_role
definite step up,it is a definite step up.,not_role_like
first echo dot,this was my first echo dot ,tautology
second echo,this is my second echo ,tautology
fifth echo dot,this is my fifth echo dot ,tautology
alarm,it is an alarm ,technical_term
great device and,echo dot is a great device and ,technical_term
second one,this is the second one ,not_role_like
great base for,this is a great base for ,incomplete_phrase_for
minor,this is a minor ,abstract_non_role
lot,echo dot is a lot of fun.,abstract_non_role
very easy set,it was a very easy set ,not_role_like
best mount i,this is the best mount i ,not_role_like
second time returning,this is the second time returning ,not_role_like
wonderful product,this is a wonderful product!,technical_term
running joke now,it's like a running joke now.,not_role_like
wonderful option if,this is a wonderful option if ,technical_term
great value,echo dot is a great value.,not_role_like
great speaker,this is a great speaker.,technical_term
bad idea,that is a bad idea.,not_role_like
breeze,this was a breeze to set ,not_role_like
first review i,this is the first review i ,not_role_like
great device,echo dot is a great device.,technical_term
second echo dot,this is my second echo dot.,tautology
great little speaker,this is a great little speaker ,technical_term
first tablet and,this is my first tablet and ,not_role_like
cheaper fix than,this was a cheaper fix than ,not_role_like
christmas present,it was a christmas present.,technical_term
nice addition,echo dot is a nice addition to ,technical_term
great addition,echo dot is a great addition to ,technical_term
nice product,this is a nice product.,technical_term
